id,lon,lat,yagis
184,38.07,30.15,0.061108
185,38.07,30.19,0.058614
186,38.07,30.23,0.055937
187,38.07,30.27,0.055109
188,38.07,30.31,0.054996
189,38.07,30.35,0.055297
190,38.07,30.39,0.046014
191,38.07,30.43,0.035217
192,38.07,30.47,0.024078
193,38.07,30.51,0.032489
194,38.07,30.55,0.042027
195,38.07,30.59,0.051263
196,38.07,30.63,0.03295
197,38.07,30.67,0.014835
198,38.07,30.71,-0.007648
199,38.07,30.75,-0.02903
200,38.07,30.79,-0.033185
201,38.07,30.83,-0.03419
202,38.07,30.87,-0.030924
203,38.07,30.91,-0.027303
204,38.07,30.95,-0.022742
205,38.07,30.99,-0.012828
206,38.07,31.03,0.009651
207,38.07,31.07,0.062767
208,38.07,31.11,0.081073
209,38.07,31.15,0.100908
210,38.07,31.19,0.115839
211,38.07,31.23,0.118221
212,38.07,31.27,0.120588
213,38.07,31.31,0.119104
214,38.07,31.35,0.111184
215,38.07,31.39,0.102587
216,38.07,31.43,0.09421
217,38.07,31.47,0.086798
218,38.07,31.51,0.079747
219,38.07,31.55,0.078545
220,38.07,31.59,0.082595
221,38.07,31.63,0.086859
222,38.07,31.67,0.092038
223,38.07,31.71,0.097939
224,38.07,31.75,0.104073
225,38.07,31.79,0.061923
226,38.07,31.83,0.024785
227,38.07,31.87,0.005443
228,38.07,31.91,0.015225
229,38.07,31.95,0.046909
230,38.07,31.99,0.114413
231,38.07,32.03,0.132228
232,38.07,32.07,0.12459
233,38.11,29.79,0.021225
234,38.11,29.83,0.019067
235,38.11,29.87,0.017018
236,38.11,29.91,0.015923
237,38.11,29.95,0.015372
238,38.11,29.99,0.015027
239,38.11,30.03,0.020736
240,38.11,30.07,0.028613
241,38.11,30.11,0.036652
242,38.11,30.15,0.041773
243,38.11,30.19,0.046171
244,38.11,30.23,0.050618
245,38.11,30.27,0.049529
246,38.11,30.31,0.04803
247,38.11,30.35,0.047184
248,38.11,30.39,0.040867
249,38.11,30.43,0.033733
250,38.11,30.47,0.026243
251,38.11,30.51,0.03661
252,38.11,30.55,0.047456
253,38.11,30.59,0.057506
254,38.11,30.63,0.047479
255,38.11,30.67,0.037344
256,38.11,30.71,0.015868
257,38.11,30.75,-0.02224
258,38.11,30.79,-0.031736
259,38.11,30.83,-0.034027
260,38.11,30.87,-0.023671
261,38.11,30.91,-0.007145
262,38.11,30.95,0.016061
263,38.11,30.99,0.026358
264,38.11,31.03,0.044514
265,38.11,31.07,0.06917
266,38.11,31.11,0.078743
267,38.11,31.15,0.089447
268,38.11,31.19,0.098853
269,38.11,31.23,0.104243
270,38.11,31.27,0.109867
271,38.11,31.31,0.114416
272,38.11,31.35,0.116944
273,38.11,31.39,0.119168
274,38.11,31.43,0.118046
275,38.11,31.47,0.113579
276,38.11,31.51,0.109241
277,38.11,31.55,0.106769
278,38.11,31.59,0.105828
279,38.11,31.63,0.104887
280,38.11,31.67,0.104517
281,38.11,31.71,0.104663
282,38.11,31.75,0.104962
283,38.11,31.79,0.085766
284,38.11,31.83,0.063397
285,38.11,31.87,0.047835
286,38.11,31.91,0.056667
287,38.11,31.95,0.080418
288,38.11,31.99,0.116387
289,38.11,32.03,0.124032
