NAME,KEY,H0160001,H0160002,H0160003,H0160004,H0160005,H0160006,H0160007,H0160008,H0160009,H0160010,H0160011,H0160012,H0160013,H0160014,H0160015,H0160016,H0160017,H0040001,P0030001,STATE,COUNTY,TRACT,BLKGRP,BLOCK
Block 3026,36109245489999900170033026,4,1,0,0,1,0,0,0,0,3,0,1,0,1,1,0,0,4,14,36,109,001700,3,3026
Block 3027,36109245489999900170033027,2,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,4,36,109,001700,3,3027
Block 3028,36109245489999900170033028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001700,3,3028
Block 3029,36109245489999900170033029,8,8,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,8,20,36,109,001700,3,3029
Block 3030,36109245489999900170033030,3,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,3,5,36,109,001700,3,3030
Block 3031,36109245489999900170033031,16,4,1,2,0,1,0,0,0,12,6,3,0,3,0,0,0,16,33,36,109,001700,3,3031
Block 3032,36109245489999900170033032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001700,3,3032
Block 3033,36109245489999900170033033,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,6,36,109,001700,3,3033
Block 3034,36109245489999900170033034,15,9,2,2,2,2,1,0,0,6,5,0,0,1,0,0,0,15,34,36,109,001700,3,3034
Block 3051,36109245489999900170033051,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,36,109,001700,3,3051
Block 3058,36109245489999900170033058,4,4,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,4,11,36,109,001700,3,3058
Block 3059,36109245489999900170033059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,109,001700,3,3059
Block 1026,36109309723096100220011026,58,44,11,16,5,8,2,1,1,14,8,3,2,1,0,0,0,58,137,36,109,002200,1,1026
Block 1027,36109309723096100220011027,15,14,1,7,2,3,1,0,0,1,0,0,0,0,0,0,1,15,47,36,109,002200,1,1027
